id,decision,rule,audit_entry,C1,C2,C3,total
1,PROCEED,R1_proceed,"The vehicle proceeded under rule R1_proceed because the verified sensor state was: traffic light is green, NOT (pedestrian detected in crosswalk), safe gap to lead vehicle, road surface safe (not icy/wet), NOT (emergency vehicle detected nearby), speed within posted limit.",1,1,1,3
2,PROCEED,R1_proceed,"The vehicle proceeded under rule R1_proceed because the verified sensor state was: traffic light is green, NOT (pedestrian detected in crosswalk), safe gap to lead vehicle, road surface safe (not icy/wet), NOT (emergency vehicle detected nearby), speed within posted limit.",1,1,1,3
3,PROCEED,R1_proceed,"The vehicle proceeded under rule R1_proceed because the verified sensor state was: traffic light is green, NOT (pedestrian detected in crosswalk), safe gap to lead vehicle, road surface safe (not icy/wet), NOT (emergency vehicle detected nearby), speed within posted limit.",1,1,1,3
4,PROCEED,R1_proceed,"The vehicle proceeded under rule R1_proceed because the verified sensor state was: traffic light is green, NOT (pedestrian detected in crosswalk), safe gap to lead vehicle, road surface safe (not icy/wet), NOT (emergency vehicle detected nearby), speed within posted limit.",1,1,1,3
5,STOP,R2_stop_red,"The vehicle stopped under rule R2_stop_red because the verified sensor state was: NOT (traffic light is green), NOT (pedestrian detected in crosswalk), safe gap to lead vehicle, road surface safe (not icy/wet), NOT (emergency vehicle detected nearby), speed within posted limit.",1,1,1,3
6,STOP,R2_stop_red,"The vehicle stopped under rule R2_stop_red because the verified sensor state was: NOT (traffic light is green), NOT (pedestrian detected in crosswalk), NOT (safe gap to lead vehicle), road surface safe (not icy/wet), NOT (emergency vehicle detected nearby), speed within posted limit.",1,1,1,3
7,STOP,R2_stop_red,"The vehicle stopped under rule R2_stop_red because the verified sensor state was: NOT (traffic light is green), NOT (pedestrian detected in crosswalk), safe gap to lead vehicle, NOT (road surface safe (not icy/wet)), NOT (emergency vehicle detected nearby), speed within posted limit.",1,1,1,3
8,STOP,R2_stop_red,"The vehicle stopped under rule R2_stop_red because the verified sensor state was: NOT (traffic light is green), NOT (pedestrian detected in crosswalk), safe gap to lead vehicle, road surface safe (not icy/wet), NOT (emergency vehicle detected nearby), NOT (speed within posted limit).",1,1,1,3
9,YIELD,R3_yield_ped,"The vehicle yielded under rule R3_yield_ped because the verified sensor state was: traffic light is green, pedestrian detected in crosswalk, safe gap to lead vehicle, road surface safe (not icy/wet), NOT (emergency vehicle detected nearby), speed within posted limit.",1,1,1,3
10,YIELD,R3_yield_ped,"The vehicle yielded under rule R3_yield_ped because the verified sensor state was: traffic light is green, pedestrian detected in crosswalk, NOT (safe gap to lead vehicle), road surface safe (not icy/wet), NOT (emergency vehicle detected nearby), speed within posted limit.",1,1,1,3
11,YIELD,R3_yield_ped,"The vehicle yielded under rule R3_yield_ped because the verified sensor state was: traffic light is green, pedestrian detected in crosswalk, safe gap to lead vehicle, NOT (road surface safe (not icy/wet)), NOT (emergency vehicle detected nearby), speed within posted limit.",1,1,1,3
12,YIELD,R3_yield_ped,"The vehicle yielded under rule R3_yield_ped because the verified sensor state was: traffic light is green, pedestrian detected in crosswalk, safe gap to lead vehicle, road surface safe (not icy/wet), NOT (emergency vehicle detected nearby), NOT (speed within posted limit).",1,1,1,3
13,PULL_OVER,R4_emergency,"The vehicle pulled over under rule R4_emergency because the verified sensor state was: traffic light is green, NOT (pedestrian detected in crosswalk), safe gap to lead vehicle, road surface safe (not icy/wet), emergency vehicle detected nearby, speed within posted limit.",1,1,1,3
14,PULL_OVER,R4_emergency,"The vehicle pulled over under rule R4_emergency because the verified sensor state was: NOT (traffic light is green), pedestrian detected in crosswalk, safe gap to lead vehicle, road surface safe (not icy/wet), emergency vehicle detected nearby, speed within posted limit.",1,1,1,3
15,PULL_OVER,R4_emergency,"The vehicle pulled over under rule R4_emergency because the verified sensor state was: traffic light is green, pedestrian detected in crosswalk, safe gap to lead vehicle, road surface safe (not icy/wet), emergency vehicle detected nearby, speed within posted limit.",1,1,1,3
16,PULL_OVER,R4_emergency,"The vehicle pulled over under rule R4_emergency because the verified sensor state was: NOT (traffic light is green), NOT (pedestrian detected in crosswalk), NOT (safe gap to lead vehicle), NOT (road surface safe (not icy/wet)), emergency vehicle detected nearby, NOT (speed within posted limit).",1,1,1,3
17,DECELERATE,R5_overspeed,"The vehicle decelerated under rule R5_overspeed because the verified sensor state was: traffic light is green, NOT (pedestrian detected in crosswalk), safe gap to lead vehicle, road surface safe (not icy/wet), NOT (emergency vehicle detected nearby), NOT (speed within posted limit).",1,1,1,3
18,DECELERATE,R5_overspeed,"The vehicle decelerated under rule R5_overspeed because the verified sensor state was: traffic light is green, NOT (pedestrian detected in crosswalk), safe gap to lead vehicle, road surface safe (not icy/wet), NOT (emergency vehicle detected nearby), NOT (speed within posted limit).",1,1,1,3
19,DECELERATE,R5_overspeed,"The vehicle decelerated under rule R5_overspeed because the verified sensor state was: traffic light is green, NOT (pedestrian detected in crosswalk), safe gap to lead vehicle, road surface safe (not icy/wet), NOT (emergency vehicle detected nearby), NOT (speed within posted limit).",1,1,1,3
20,DECELERATE,R5_overspeed,"The vehicle decelerated under rule R5_overspeed because the verified sensor state was: traffic light is green, NOT (pedestrian detected in crosswalk), safe gap to lead vehicle, road surface safe (not icy/wet), NOT (emergency vehicle detected nearby), NOT (speed within posted limit).",1,1,1,3
